,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,monywa,22.1167,95.1333,71.17,64,2,6.53,MM,1669838284
1,kargil,34.5667,76.1,25.36,41,100,2.64,IN,1669838285
2,albany,42.6001,-73.9662,52.95,91,100,5.99,US,1669838286
3,boli,45.7667,130.5167,-0.38,76,98,14.07,CN,1669838286
4,mount pleasant,32.7941,-79.8626,69.1,83,0,9.22,US,1669838082
5,ushuaia,-54.8,-68.3,53.26,50,75,27.63,AR,1669838287
6,puerto ayora,-0.7393,-90.3518,78.76,85,69,5.99,EC,1669838287
7,soyo,-6.1349,12.3689,77.77,80,79,6.42,AO,1669838287
8,qaanaaq,77.484,-69.3632,-21.96,78,16,5.59,GL,1669838288
9,terrasini,38.146,13.0844,56.77,79,20,12.66,IT,1669838288
10,bathsheba,13.2167,-59.5167,81.21,69,75,19.57,BB,1669838289
11,severnoye,56.3491,78.3619,-11.72,98,17,3.11,RU,1669838289
12,port hedland,-20.3167,118.5667,78.85,89,62,4.61,AU,1669838288
13,rikitea,-23.1203,-134.9692,72.48,72,94,13.29,PF,1669838290
14,busselton,-33.65,115.3333,62.01,82,99,8.9,AU,1669838244
15,longyearbyen,78.2186,15.6401,35.44,87,100,12.66,SJ,1669838291
16,rabaul,-4.1967,152.1721,79.84,77,56,4.45,PG,1669838291
17,gannan,47.9147,123.5031,-10.93,80,60,7.94,CN,1669838291
18,dingle,10.9995,122.6711,75.42,93,98,7.45,PH,1669838292
19,constitucion,-35.3333,-72.4167,62.2,65,0,19.24,CL,1669838292
20,navoi,40.0844,65.3792,35.92,75,98,4.85,UZ,1669838293
21,cayenne,4.9333,-52.3333,80.64,78,20,9.22,GF,1669838293
22,tiksi,71.6872,128.8694,-12.08,100,100,13.42,RU,1669838294
23,victoria,22.2855,114.1577,64.26,81,100,15.99,HK,1669838007
24,upernavik,72.7868,-56.1549,7.92,89,100,16.37,GL,1669838295
25,mataura,-46.1927,168.8643,50.49,59,86,4.9,NZ,1669838295
26,carnarvon,-24.8667,113.6333,68.94,82,3,16.4,AU,1669838295
27,saskylakh,71.9167,114.0833,-30.17,100,100,7.0,RU,1669838296
28,pisco,-13.7,-76.2167,75.25,60,0,13.8,PE,1669838296
29,kaitangata,-46.2817,169.8464,53.02,57,11,8.79,NZ,1669838297
30,norman wells,65.282,-126.8329,-14.76,76,100,2.3,CA,1669838297
31,mahebourg,-20.4081,57.7,76.24,78,40,4.61,MU,1669838297
32,castro,-24.7911,-50.0119,69.4,83,81,2.42,BR,1669838298
33,hobart,-42.8794,147.3294,53.26,73,75,1.99,AU,1669838234
34,iseyin,7.9667,3.6,81.23,48,41,5.14,NG,1669838299
35,omsukchan,62.5333,155.8,0.72,98,100,6.55,RU,1669838231
36,sao joao da barra,-21.6403,-41.0511,77.09,90,100,14.16,BR,1669838299
37,puerto escondido,15.85,-97.0667,83.98,66,19,7.18,MX,1669838275
38,rubio,7.7013,-72.3557,70.65,73,58,5.3,VE,1669838300
39,christchurch,-43.5333,172.6333,55.94,71,100,6.91,NZ,1669838099
40,vaini,-21.2,-175.2,80.76,78,75,4.61,TO,1669838300
41,port hardy,50.6996,-127.4199,28.58,93,75,3.44,CA,1669838301
42,kaliua,-5.0606,31.7936,64.63,95,76,4.76,TZ,1669838301
43,east london,-33.0153,27.9116,72.64,88,100,13.24,ZA,1669838232
44,punta arenas,-53.15,-70.9167,55.42,50,75,31.07,CL,1669838303
45,kjollefjord,70.9457,27.3465,35.65,93,75,6.91,NO,1669838303
46,shache,38.4167,77.2406,20.1,21,1,0.45,CN,1669838304
47,hermanus,-34.4187,19.2345,60.8,88,48,1.36,ZA,1669838229
48,saint anthony,45.0205,-93.218,19.89,66,75,25.32,US,1669838304
49,port alfred,-33.5906,26.891,66.18,94,100,8.93,ZA,1669838306
50,carutapera,-1.195,-46.02,79.47,75,100,6.46,BR,1669838306
51,leningradskiy,69.3833,178.4167,1.29,97,91,4.32,RU,1669838307
52,barrow,71.2906,-156.7887,28.42,93,100,17.27,US,1669838307
53,geraldton,-28.7667,114.6,68.41,68,100,6.91,AU,1669838307
54,vanimo,-2.6741,141.3028,77.45,88,100,5.23,PG,1669838308
55,jamestown,42.097,-79.2353,35.24,70,100,30.0,US,1669837858
56,muros,42.7762,-9.0603,53.1,90,99,6.71,ES,1669838310
57,atuona,-9.8,-139.0333,77.86,75,55,16.93,PF,1669838313
58,georgetown,5.4112,100.3354,81.23,92,20,3.44,MY,1669838063
59,sola,-13.8833,167.55,81.93,75,52,13.6,VU,1669838316
60,leh,34.1667,77.5833,20.26,55,88,0.67,IN,1669838318
61,aswan,24.0934,32.907,70.9,30,0,4.61,EG,1669838318
62,mecca,21.4267,39.8261,79.14,68,51,2.86,SA,1669838319
63,west fargo,46.875,-96.9004,12.25,67,100,17.27,US,1669838319
64,gornopravdinsk,60.05,69.9,-9.53,95,90,3.71,RU,1669838320
65,cape town,-33.9258,18.4232,68.41,74,0,10.36,ZA,1669838199
66,salinas,36.6777,-121.6555,60.01,58,39,4.59,US,1669838206
67,povenets,62.8487,34.8262,20.3,93,100,4.81,RU,1669838067
68,shelburne,44.0787,-80.2041,32.45,80,97,23.09,CA,1669838239
69,barentu,15.1139,37.5928,76.35,36,0,5.79,ER,1669838321
70,bluff,-46.6,168.3333,50.81,78,96,15.3,NZ,1669838322
71,avarua,-21.2078,-159.775,80.65,78,75,17.27,CK,1669838322
72,hanzhong,33.0728,107.0303,23.95,91,72,0.94,CN,1669838323
73,matagami,49.7502,-77.6328,33.91,93,100,14.97,CA,1669838323
